Year,Interest Rate (Federal Funds Effective Rate),CPI,UnemploymentRate,GDPGrowthRate
2015,0.11,0.1,5.3,2.9
2016,0.34,1.3,4.9,1.8
2017,0.65,2.1,4.4,2.5
2018,1.41,2.4,3.9,3
2019,2.4,1.8,3.7,2.5
2020,1.55,1.2,8.1,-2.2
2021,0.09,4.7,5.4,5.8
2022,0.08,8,3.6,1.9
2023,4.33,3.2,3.5,2.5
